name,ML_ALGORITHM,BEST_METHOD1,BEST_METHOD2,BEST_METHOD3
iris,dt,impute_soft,impute_mice,impute_standard
iris,lr,impute_mice,impute_median,impute_knn
iris,knn,impute_mice,impute_knn,impute_linear_and_logistic
iris,nb,impute_mice,impute_knn,impute_linear_and_logistic
cancer,dt,impute_soft,impute_knn,impute_mice
cancer,lr,impute_mean,no_impute,impute_mice
cancer,knn,impute_mice,impute_soft,impute_knn
cancer,nb,impute_knn,impute_soft,impute_mice
wine,dt,no_impute,impute_mean,impute_median
wine,lr,impute_mice,impute_linear_and_logistic,impute_knn
wine,knn,impute_mice,impute_linear_and_logistic,impute_knn
wine,nb,impute_mice,impute_knn,impute_linear_and_logistic
letter,dt,impute_knn,impute_mice,impute_mode
letter,lr,impute_knn,impute_mice,impute_linear_and_logistic
letter,knn,impute_knn,impute_mice,impute_linear_and_logistic
letter,nb,impute_knn,impute_linear_and_logistic,no_impute
car,dt,impute_standard,impute_soft,no_impute
car,lr,no_impute,impute_standard,impute_mean
car,knn,no_impute,impute_standard,impute_soft
car,nb,impute_random,no_impute,impute_mice
users,dt,impute_mean,impute_std,impute_mode
users,lr,no_impute,impute_standard,impute_mean
users,knn,impute_mice,impute_knn,impute_mean
users,nb,impute_mice,impute_knn,impute_linear_and_logistic
bank,dt,impute_median,no_impute,impute_mode
bank,lr,no_impute,impute_mean,impute_std
bank,knn,impute_mice,impute_median,impute_std
bank,nb,impute_soft,impute_knn,no_impute
german,dt,impute_linear_and_logistic,impute_median,impute_mice
german,lr,no_impute,impute_std,impute_standard
german,knn,no_impute,impute_mice,impute_knn
german,nb,impute_soft,impute_knn,impute_mice
adult,dt,impute_median,impute_mean,impute_mode
adult,lr,no_impute,impute_mean,impute_median
adult,knn,impute_mean,impute_median,impute_mode
adult,nb,impute_knn,impute_linear_and_logistic,impute_mice
soybean,dt,impute_knn,impute_mice,impute_linear_and_logistic
soybean,lr,impute_knn,impute_mice,impute_soft
soybean,knn,impute_mice,impute_knn,impute_soft
soybean,nb,impute_mean,no_impute,impute_std
mushrooms,dt,impute_standard,impute_knn,no_impute
mushrooms,lr,no_impute,impute_standard,impute_mean
mushrooms,knn,impute_knn,no_impute,impute_mice
mushrooms,nb,no_impute,impute_standard,impute_soft
