outlier,imputation,percentage,r2,percent_diff
z,mean,50,0.9291,22.18
z,mean,60,0.9397,23.57
z,mean,70,0.9523,25.22
z,mean,80,0.962,26.5
z,mean,90,0.9728,27.92
z,interpolation,50,0.7039,-7.44
z,interpolation,60,0.7039,-7.44
z,interpolation,70,0.7052,-7.27
z,interpolation,80,0.7039,-7.45
z,interpolation,90,0.7104,-6.58
z,drop,50,1.0,31.49
z,drop,60,1.0,31.49
z,drop,70,1.0,31.49
z,drop,80,1.0,31.49
z,drop,90,1.0,31.49
z,LOCF,50,0.6768,-11.0
z,LOCF,60,0.6825,-10.25
z,LOCF,70,0.6913,-9.1
z,LOCF,80,0.7,-7.96
z,LOCF,90,0.7104,-6.58
none,none,50,0.7103,-6.6
none,none,60,0.7224,-5.01
none,none,70,0.7327,-3.65
none,none,80,0.7427,-2.34
none,none,90,0.7532,-0.96
none,none,100,0.7605,0.0
lof,mean,50,0.7012,-7.8
lof,mean,60,0.7172,-5.69
lof,mean,70,0.7236,-4.85
lof,mean,80,0.7252,-4.64
lof,mean,90,0.74,-2.7
lof,interpolation,50,0.7122,-6.36
lof,interpolation,60,0.7257,-4.58
lof,interpolation,70,0.7327,-3.65
lof,interpolation,80,0.7373,-3.04
lof,interpolation,90,0.7477,-1.69
lof,drop,50,0.7663,0.76
lof,drop,60,0.7566,-0.51
lof,drop,70,0.7494,-1.46
lof,drop,80,0.7568,-0.48
lof,drop,90,0.7622,0.22
lof,LOCF,50,0.7063,-7.13
lof,LOCF,60,0.7194,-5.41
lof,LOCF,70,0.7284,-4.22
lof,LOCF,80,0.7316,-3.8
lof,LOCF,90,0.745,-2.04
iforest,mean,50,0.6882,-9.5
iforest,mean,60,0.6887,-9.44
iforest,mean,70,0.6933,-8.84
iforest,mean,80,0.6893,-9.35
iforest,mean,90,0.6873,-9.62
iforest,interpolation,50,0.7041,-7.41
iforest,interpolation,60,0.7098,-6.66
iforest,interpolation,70,0.7091,-6.75
iforest,interpolation,80,0.7079,-6.91
iforest,interpolation,90,0.7007,-7.86
iforest,drop,50,0.7669,0.84
iforest,drop,60,0.7729,1.64
iforest,drop,70,0.8009,5.32
iforest,drop,80,0.8279,8.86
iforest,drop,90,0.8258,8.59
iforest,LOCF,50,0.7005,-7.88
iforest,LOCF,60,0.7043,-7.39
iforest,LOCF,70,0.7086,-6.82
iforest,LOCF,80,0.7078,-6.93
iforest,LOCF,90,0.7051,-7.28
hst,mean,50,0.7318,-3.77
hst,mean,60,0.735,-3.35
hst,mean,70,0.7399,-2.71
hst,mean,80,0.7455,-1.98
hst,mean,90,0.7511,-1.24
hst,interpolation,50,0.7085,-6.83
hst,interpolation,60,0.7278,-4.29
hst,interpolation,70,0.7383,-2.91
hst,interpolation,80,0.7448,-2.05
hst,interpolation,90,0.7494,-1.46
hst,drop,50,0.8165,7.37
hst,drop,60,0.7901,3.89
hst,drop,70,0.7786,2.38
hst,drop,80,0.7707,1.34
hst,drop,90,0.7631,0.35
hst,LOCF,50,0.7078,-6.92
hst,LOCF,60,0.7267,-4.45
hst,LOCF,70,0.7356,-3.27
hst,LOCF,80,0.7431,-2.29
hst,LOCF,90,0.7492,-1.48
