,outlier,correction,imputation,50,60,70,80,90,100
24,none,none,none,-5.9,-5.09,-3.99,-2.92,-1.58,0.0
25,z,drop,interpolation,-3.21,-1.88,-1.32,-0.89,-0.07,
27,z,drop,mean,-2.63,-1.6,-1.09,-0.78,-0.12,
1,iforest,drop,locf,-4.54,-3.64,-2.42,-1.66,-0.4,
26,z,drop,locf,-3.71,-2.33,-1.48,-1.28,-0.42,
12,lof,drop,interpolation,-4.07,-2.92,-2.39,-1.52,-0.43,
2,iforest,drop,mean,-3.75,-2.87,-1.94,-1.44,-0.45,
14,lof,drop,mean,-3.57,-2.6,-1.84,-1.18,-0.48,
13,lof,drop,locf,-4.54,-3.46,-2.64,-1.53,-0.52,
0,iforest,drop,interpolation,-4.46,-3.12,-2.47,-1.44,-0.6,
17,lof,interpolation,mean,-5.42,-4.19,-3.2,-2.32,-0.86,
23,lof,mean,mean,-5.42,-4.19,-3.2,-2.32,-0.86,
20,lof,locf,mean,-5.96,-4.68,-3.6,-2.61,-0.98,
15,lof,interpolation,interpolation,-6.08,-4.86,-3.7,-2.68,-1.04,
21,lof,mean,interpolation,-5.69,-4.63,-3.49,-2.22,-1.14,
22,lof,mean,locf,-6.26,-4.92,-3.46,-2.52,-1.15,
18,lof,locf,interpolation,-6.54,-5.08,-3.82,-2.55,-1.23,
16,lof,interpolation,locf,-7.2,-5.27,-4.16,-2.9,-1.3,
19,lof,locf,locf,-7.2,-5.27,-4.16,-2.9,-1.3,
5,iforest,interpolation,mean,-5.72,-4.86,-4.0,-2.61,-1.38,
11,iforest,mean,mean,-5.72,-4.86,-4.0,-2.61,-1.38,
3,iforest,interpolation,interpolation,-6.47,-5.34,-4.36,-3.28,-1.52,
10,iforest,mean,locf,-6.66,-5.61,-4.06,-2.82,-1.54,
34,z,mean,interpolation,-8.28,-6.59,-5.21,-3.57,-1.58,
9,iforest,mean,interpolation,-6.01,-5.02,-4.17,-2.84,-1.59,
35,z,mean,locf,-8.7,-7.0,-5.34,-3.68,-1.6,
30,z,interpolation,mean,-7.9,-6.39,-4.92,-3.27,-1.61,
36,z,mean,mean,-7.9,-6.39,-4.92,-3.27,-1.61,
6,iforest,locf,interpolation,-6.82,-5.47,-4.64,-3.45,-1.67,
8,iforest,locf,mean,-6.33,-5.32,-4.38,-2.92,-1.7,
28,z,interpolation,interpolation,-9.66,-7.66,-5.81,-3.89,-1.75,
4,iforest,interpolation,locf,-7.14,-6.08,-5.0,-3.3,-1.76,
7,iforest,locf,locf,-7.14,-6.08,-5.0,-3.3,-1.76,
33,z,locf,mean,-10.38,-7.98,-6.56,-4.34,-2.04,
29,z,interpolation,locf,-11.55,-8.6,-6.81,-4.79,-2.24,
32,z,locf,locf,-11.55,-8.6,-6.81,-4.79,-2.24,
31,z,locf,interpolation,-11.02,-8.2,-6.74,-4.43,-2.34,
