,outlier,imputation,50,60,70,80,90,100
8,none,none,-6.14,-4.77,-4.07,-2.98,-1.25,0.0
9,z,drop,-3.39,-2.0,-1.18,-0.5,0.13,
4,lof,drop,-5.43,-4.05,-2.73,-1.8,-0.65,
0,iforest,drop,-5.6,-4.24,-3.28,-1.59,-0.76,
5,lof,interpolation,-7.88,-6.7,-5.53,-4.19,-2.15,
7,lof,mean,-7.77,-6.58,-5.18,-3.78,-2.19,
3,iforest,mean,-8.57,-7.16,-5.78,-4.1,-2.2,
6,lof,locf,-8.72,-7.33,-5.82,-4.47,-2.22,
1,iforest,interpolation,-8.87,-7.35,-6.12,-4.46,-2.42,
2,iforest,locf,-9.44,-7.98,-6.82,-4.74,-2.84,
12,z,mean,-12.8,-10.81,-8.09,-5.48,-2.94,
10,z,interpolation,-14.88,-12.5,-9.52,-6.68,-3.36,
11,z,locf,-16.75,-14.14,-10.92,-7.35,-3.99,
